<#f0f000>Command Normals</>
  Laser		_DF^HP
	
  Air Launcher (IN AIR)		_D^HK
  
  Double Jump (IN AIR)		_U

<#f0f000>Special Moves</>
  Optic Blast (AIR OK)		_D_DF_F^P

  Optic Sweep		_D_DF_F^K

  Cyclone Kick		_D_DB_B^K

  Gene Splice		_F_D_DF^P

  Rapid Punches (CHARGE)		[_B]_F^P
      then mash ^P

  Running Neckbreaker		[_B]_F^K		
  
<#f0f000>Super Moves</>
  Mega Optic Blast (AIR OK) (LEVEL 1)		_D_DF_F^P+^P

  Super Optic Blast (AIR OK) (LEVEL 1)		_D_DF_F^K+^K		

<#f0f000>Marvel Universal Mechanics</>
 
  Universal Launcher		_D^HP
  
  Punch Throw		_F or _B^HP while close to the opponent
  
  Kick Throw		_F or _B^HK while close to the opponent
  
  Air Throw (IN AIR)		_F or _B^HP while close to the opponent
  
<#f0f000>Marvel Controls</>

  ^A		^LK

  ^B		^HK
  
  ^C		^LK+^HK
  
  ^X		^LP
  
  ^Y		^HP
  
  ^Z		^LP+^HP
